        	acceptance	adoration	affection	aggravation	agitation	agony   	alarm   	alienation	amusement	anger   	anguish 	annoyance	anticipation	anxiety 	apprehension	arousal 	attraction	aversion	bitterness	bliss   	compassion	contempt	courage 	defeat  	dejection	delight 	depression	desire  	despair 	disappointment	disgust 	dislike 	dismay  	displeasure	distress	dread   	eagerness	ecstasy 	elation 	embarrassment	enthusiasm	envy    	euphoria	exasperation	excitement	exhilaration	fear    	ferocity	fondness	fright  	frustration	fury    	gaiety  	gladness	glee    	gloom   	glumness	grief   	grouchiness	grumpiness	guilt   	happiness	hate    	homesickness	hope    	hopelessness	horror  	hostility	humiliation	hurt    	hysteria	infatuation	insecurity	insult  	interest	irritation	isolation	jealousy	jolliness	joviality	joy     	jubilation	liking  	loathing	loneliness	love    	lust    	melancholy	misery  	mortification	neglect 	optimism	outrage 	pain    	panic   	passion 	pity    	pleasure	pride   	rage    	rapture 	regret  	rejection	relief  	remorse 	resentment	revulsion	sadness 	satisfaction	scorn   	shame   	shock   	sorrow  	spite   	suffering	surprise	sympathy	tenderness	tenseness	terror  	thrill  	torment 	triumph 	uneasiness	unhappiness	vengefulness	woe     	wonder  	worry   	wrath   	zeal    	zest    	
disgust 	0.333840	0.254431	0.279258	0.325036	0.242824	0.236106	0.293853	0.298600	0.365244	0.296915	0.337528	0.378473	0.326537	0.274324	0.277848	0.273339	0.256104	0.378489	0.334409	0.216545	0.295993	0.494686	0.287291	0.270899	0.334943	0.244412	0.280412	0.283821	0.319953	0.329497	1.000000	0.305826	0.335927	0.296042	0.275851	0.271040	0.282465	0.249921	0.363827	0.309132	0.242546	0.299438	0.250740	0.327897	0.275770	0.311005	0.368578	0.311973	0.206120	0.255865	0.300586	0.304174	0.229970	0.261666	0.170382	0.318823	0.277896	0.235282	0.326296	0.317331	0.267447	0.318533	0.278447	0.261354	0.288126	0.327499	0.230196	0.319124	0.296544	0.293715	0.251976	0.200940	0.293256	0.302889	0.353533	0.315237	0.294030	0.265924	0.217785	0.255429	0.344258	0.271152	0.286705	0.374227	0.290530	0.248298	0.288247	0.217837	0.286326	0.270146	0.277115	0.296394	0.312742	0.284447	0.240574	0.285987	0.249830	0.296391	0.284587	0.329531	0.211968	0.284293	0.301098	0.287017	0.290323	0.295926	0.415919	0.379640	0.270840	0.336442	0.304169	0.308448	0.250518	0.342099	0.345007	0.375751	0.288332	0.274029	0.289669	0.276725	0.219891	0.343357	0.264754	0.261148	0.272819	0.364298	0.237500	0.355859	0.260100	0.314128	0.243989	0.277867	
dislike 	0.491932	0.329393	0.508654	0.483191	0.331584	0.419410	0.452769	0.399563	0.368957	0.310063	0.521886	0.459723	0.395448	0.335490	0.390151	0.498444	0.325547	0.502825	0.413602	0.403945	0.496882	0.496831	0.467653	0.411042	0.408284	0.414941	0.286456	0.445033	0.381460	0.462613	0.305826	1.000000	0.448833	0.405258	0.431923	0.366895	0.495956	0.392307	0.429826	0.300216	0.508823	0.388137	0.523436	0.433545	0.468068	0.409262	0.367043	0.377433	0.435738	0.412071	0.460049	0.425663	0.429333	0.332647	0.323960	0.531490	0.437172	0.290590	0.475963	0.432479	0.324545	0.348743	0.547514	0.325008	0.390719	0.379684	0.262126	0.306297	0.351302	0.406448	0.372326	0.344654	0.387816	0.498740	0.410794	0.516968	0.363782	0.290076	0.400149	0.348443	0.473028	0.444047	0.486055	0.539890	0.471656	0.448935	0.419569	0.489663	0.393545	0.500276	0.299218	0.370766	0.324111	0.385104	0.249525	0.406825	0.363052	0.351159	0.383303	0.385782	0.531282	0.379516	0.338952	0.390210	0.380656	0.336973	0.529458	0.465260	0.272220	0.484902	0.302793	0.513344	0.441603	0.345051	0.451562	0.359630	0.465054	0.585373	0.359956	0.340318	0.564928	0.471376	0.403474	0.355830	0.372535	0.521030	0.383358	0.479448	0.313460	0.428965	0.428217	0.463465	
dismay  	0.461514	0.390410	0.429562	0.480066	0.381308	0.387965	0.509930	0.432035	0.429256	0.381438	0.548318	0.477250	0.435592	0.372858	0.484663	0.435716	0.391677	0.403117	0.448764	0.320341	0.455753	0.483301	0.449529	0.467518	0.473968	0.406355	0.353580	0.421061	0.458403	0.548601	0.335927	0.448833	1.000000	0.430247	0.401116	0.445635	0.490684	0.339479	0.446700	0.388102	0.437276	0.408910	0.409237	0.428947	0.486411	0.502458	0.440710	0.406094	0.368883	0.451740	0.453867	0.424839	0.411220	0.404026	0.280425	0.524330	0.435581	0.386483	0.444180	0.438501	0.378424	0.392643	0.415743	0.389892	0.455821	0.473922	0.335185	0.379557	0.424561	0.468978	0.365843	0.335076	0.468773	0.481341	0.448530	0.462960	0.442404	0.369842	0.346950	0.395192	0.487069	0.431488	0.448847	0.478976	0.478686	0.417500	0.446430	0.396908	0.462760	0.491764	0.424369	0.427369	0.367137	0.402016	0.343226	0.445402	0.353164	0.423502	0.405267	0.402346	0.396892	0.429954	0.399276	0.427687	0.439689	0.394712	0.491118	0.498178	0.360474	0.414359	0.367634	0.510407	0.437857	0.419307	0.504956	0.447205	0.452358	0.491354	0.484327	0.419122	0.423442	0.475670	0.395036	0.430848	0.440048	0.477884	0.410849	0.433656	0.390104	0.393560	0.385831	0.455937	
displeasure	0.358887	0.339508	0.349376	0.418821	0.332998	0.277354	0.331907	0.347908	0.367381	0.455715	0.421283	0.493836	0.423436	0.280639	0.346313	0.379746	0.304742	0.387205	0.422211	0.242180	0.352074	0.410884	0.310516	0.322107	0.416120	0.368786	0.320613	0.359156	0.355669	0.413521	0.296042	0.405258	0.430247	1.000000	0.333873	0.305064	0.421632	0.267331	0.346421	0.317781	0.355585	0.333499	0.311724	0.449103	0.375898	0.385192	0.352151	0.363803	0.330930	0.326733	0.386464	0.421030	0.353026	0.377889	0.168060	0.392863	0.311665	0.292625	0.380873	0.338741	0.311428	0.317606	0.351408	0.289679	0.295140	0.375682	0.220761	0.417800	0.329995	0.379824	0.272078	0.253315	0.347929	0.393095	0.394859	0.424236	0.359466	0.292453	0.260706	0.373046	0.391222	0.339169	0.386144	0.373470	0.351661	0.304820	0.330092	0.275568	0.340727	0.338963	0.353396	0.316477	0.325081	0.316463	0.264246	0.367098	0.295006	0.544639	0.325091	0.396785	0.279610	0.316455	0.345038	0.352717	0.400939	0.391863	0.433286	0.420819	0.291340	0.291210	0.312391	0.354841	0.313236	0.375998	0.393867	0.373872	0.349955	0.371231	0.373992	0.289741	0.300780	0.341262	0.286572	0.328642	0.359980	0.407192	0.316620	0.337092	0.298807	0.405900	0.315240	0.336076	
distress	0.499382	0.288858	0.415327	0.432863	0.297882	0.361359	0.423613	0.399842	0.369762	0.361091	0.456503	0.401697	0.346717	0.360062	0.383714	0.515972	0.343405	0.328598	0.347848	0.428962	0.454568	0.410335	0.425245	0.400857	0.333723	0.375946	0.359218	0.389066	0.343969	0.448390	0.275851	0.431923	0.401116	0.333873	1.000000	0.351249	0.430771	0.348282	0.431040	0.283959	0.430176	0.352265	0.460157	0.324682	0.471196	0.382134	0.358560	0.309127	0.343270	0.362642	0.450880	0.402010	0.340693	0.279450	0.264047	0.468913	0.357952	0.326514	0.405027	0.401768	0.294883	0.366014	0.391508	0.348390	0.367310	0.409914	0.243266	0.310806	0.319260	0.406768	0.374299	0.284122	0.402675	0.465117	0.388197	0.463085	0.372749	0.310141	0.330629	0.312984	0.412841	0.390446	0.392344	0.393498	0.438137	0.417801	0.378903	0.440318	0.363720	0.453391	0.309214	0.393779	0.322506	0.412842	0.315147	0.396450	0.323555	0.358977	0.334531	0.380887	0.449863	0.395083	0.349934	0.442641	0.330301	0.342317	0.371666	0.455883	0.326778	0.371942	0.281279	0.509436	0.389446	0.319227	0.448514	0.375400	0.446810	0.506862	0.349455	0.329951	0.485675	0.423631	0.403672	0.327895	0.403995	0.426435	0.346516	0.436035	0.315391	0.360944	0.344681	0.423228	
dread   	0.390487	0.272877	0.363643	0.381307	0.308164	0.278142	0.507192	0.344896	0.329711	0.293866	0.400782	0.359901	0.384958	0.401910	0.495646	0.355480	0.305153	0.365636	0.320039	0.287160	0.377874	0.380129	0.382923	0.351704	0.327639	0.310478	0.299105	0.364373	0.331739	0.377614	0.271040	0.366895	0.445635	0.305064	0.351249	1.000000	0.377988	0.306955	0.371283	0.267546	0.365474	0.316798	0.364670	0.281526	0.397688	0.357179	0.508479	0.294980	0.306078	0.528720	0.372166	0.330336	0.311145	0.282107	0.209075	0.430976	0.309660	0.295064	0.348387	0.331613	0.273669	0.304285	0.336129	0.305824	0.345572	0.340153	0.348026	0.271450	0.311437	0.361295	0.320179	0.264384	0.372825	0.370215	0.349812	0.390988	0.334202	0.294133	0.282600	0.290984	0.376871	0.328299	0.335318	0.405971	0.375940	0.326830	0.327828	0.326034	0.316439	0.450564	0.277758	0.312034	0.278439	0.330673	0.360984	0.357653	0.298086	0.303100	0.292238	0.326214	0.344880	0.333677	0.323962	0.357775	0.316871	0.279352	0.380500	0.391071	0.279231	0.317778	0.264102	0.446584	0.349601	0.301961	0.375277	0.351682	0.379187	0.390209	0.444084	0.433992	0.367409	0.341910	0.318142	0.468792	0.313931	0.357169	0.313112	0.421746	0.338014	0.291344	0.308937	0.354087	
eagerness	0.488852	0.391777	0.454989	0.517524	0.385878	0.373394	0.436586	0.409461	0.414883	0.419226	0.523126	0.494904	0.438690	0.356208	0.407998	0.458060	0.435554	0.375600	0.417789	0.375353	0.493362	0.460478	0.478051	0.449345	0.389574	0.468517	0.348608	0.470777	0.407546	0.514272	0.282465	0.495956	0.490684	0.421632	0.430771	0.377988	1.000000	0.398650	0.471981	0.334339	0.621426	0.424216	0.480803	0.431632	0.576504	0.527531	0.390191	0.448679	0.453699	0.387811	0.517566	0.471350	0.491150	0.429695	0.331168	0.500396	0.398696	0.382217	0.483557	0.466875	0.357111	0.433818	0.428424	0.389695	0.443392	0.411287	0.286614	0.360703	0.386865	0.453221	0.366544	0.406104	0.446041	0.495592	0.471243	0.530526	0.414994	0.377571	0.421245	0.447384	0.463913	0.488915	0.485901	0.452646	0.484475	0.451679	0.454811	0.435239	0.430651	0.445270	0.353132	0.427911	0.370386	0.398276	0.300675	0.521860	0.349867	0.407926	0.386452	0.426926	0.488246	0.403733	0.386256	0.482536	0.424940	0.391448	0.481433	0.485211	0.354014	0.411546	0.333803	0.481530	0.442780	0.390350	0.484763	0.438887	0.467296	0.542635	0.423456	0.352116	0.509964	0.474623	0.424726	0.373989	0.398558	0.458752	0.409843	0.468157	0.397980	0.403125	0.611307	0.582728	
ecstasy 	0.404012	0.257592	0.386287	0.372891	0.236073	0.346117	0.363007	0.359318	0.271896	0.296057	0.402939	0.330922	0.273586	0.314270	0.314219	0.399017	0.294572	0.284165	0.304507	0.348401	0.406136	0.369141	0.396088	0.369284	0.281920	0.364301	0.295481	0.341930	0.311230	0.396564	0.249921	0.392307	0.339479	0.267331	0.348282	0.306955	0.398650	1.000000	0.376202	0.230947	0.403754	0.312054	0.456322	0.264227	0.405094	0.375227	0.302628	0.313688	0.270719	0.304792	0.392726	0.357501	0.356025	0.270221	0.291540	0.408737	0.358208	0.277612	0.361448	0.351933	0.254503	0.309280	0.333617	0.310656	0.340095	0.310687	0.242969	0.249265	0.289879	0.312315	0.361683	0.301710	0.318784	0.397102	0.326195	0.400400	0.325553	0.275154	0.349329	0.319635	0.356761	0.405599	0.353539	0.354478	0.377395	0.347766	0.345042	0.408296	0.321307	0.390056	0.252195	0.326683	0.262437	0.356446	0.245953	0.383971	0.290341	0.285981	0.281369	0.343582	0.496687	0.352459	0.281317	0.356043	0.286333	0.273655	0.328125	0.359906	0.242341	0.363848	0.249910	0.425060	0.361145	0.253240	0.384331	0.314719	0.377918	0.448021	0.275639	0.286120	0.456071	0.371425	0.347478	0.260648	0.298527	0.357341	0.318935	0.406026	0.274399	0.326712	0.356014	0.392869	
elation 	0.476054	0.337098	0.419868	0.444931	0.324772	0.371343	0.438717	0.392739	0.443941	0.345522	0.472436	0.407868	0.413389	0.349260	0.404713	0.434485	0.363490	0.382749	0.377380	0.441624	0.445577	0.461933	0.459713	0.407667	0.374214	0.464261	0.336618	0.397551	0.391653	0.446034	0.363827	0.429826	0.446700	0.346421	0.431040	0.371283	0.471981	0.376202	1.000000	0.315507	0.439912	0.351934	0.457167	0.350715	0.491707	0.503486	0.416844	0.370245	0.354628	0.372496	0.414622	0.419906	0.428654	0.423788	0.319881	0.460683	0.396094	0.325127	0.403271	0.383420	0.322168	0.425553	0.402051	0.346789	0.429276	0.403599	0.279146	0.306267	0.369130	0.377812	0.369282	0.346256	0.394283	0.426682	0.407405	0.452687	0.393100	0.329497	0.438777	0.421923	0.519166	0.455438	0.419799	0.420540	0.427655	0.414014	0.446174	0.424769	0.396576	0.441753	0.293761	0.406253	0.371241	0.362665	0.300351	0.432511	0.342927	0.375452	0.401475	0.372515	0.445176	0.396776	0.336475	0.408796	0.364955	0.327549	0.411874	0.485190	0.340071	0.382343	0.312999	0.488835	0.433506	0.344264	0.437437	0.422264	0.418579	0.472877	0.359190	0.333351	0.456944	0.425661	0.447815	0.344029	0.375994	0.414162	0.364908	0.474092	0.336119	0.376364	0.404279	0.455586	
embarrassment	0.361407	0.296494	0.287138	0.367159	0.270189	0.196545	0.302057	0.322854	0.365289	0.363342	0.341145	0.419169	0.340494	0.327334	0.332912	0.288243	0.329828	0.295077	0.377740	0.180871	0.330053	0.397979	0.307347	0.311272	0.343125	0.283304	0.358403	0.321190	0.319746	0.405519	0.309132	0.300216	0.388102	0.317781	0.283959	0.267546	0.334339	0.230947	0.315507	1.000000	0.276935	0.360344	0.238944	0.326101	0.305939	0.350503	0.358573	0.281820	0.237259	0.254850	0.361873	0.312730	0.255619	0.324289	0.157174	0.299124	0.252210	0.335810	0.343415	0.320474	0.456693	0.348169	0.284929	0.325049	0.313255	0.381237	0.239554	0.325091	0.432493	0.375236	0.241009	0.228291	0.389805	0.356249	0.375357	0.329252	0.339062	0.345465	0.220394	0.318832	0.358368	0.258093	0.319826	0.351956	0.365882	0.275267	0.331113	0.215200	0.362535	0.346224	0.341018	0.334598	0.303562	0.313142	0.301133	0.311426	0.285596	0.334667	0.434865	0.311562	0.201379	0.354533	0.353095	0.346893	0.378940	0.376776	0.347566	0.393471	0.324161	0.263229	0.539563	0.322048	0.254049	0.365278	0.350185	0.356685	0.342280	0.277180	0.369941	0.282962	0.199578	0.338445	0.266313	0.322174	0.344595	0.363539	0.273053	0.306341	0.322702	0.264038	0.232944	0.324939	
enthusiasm	0.469020	0.341802	0.477381	0.455742	0.332700	0.389957	0.443050	0.386269	0.357108	0.349715	0.496394	0.414985	0.382315	0.333547	0.373168	0.470217	0.362456	0.356694	0.375053	0.415676	0.489189	0.450503	0.457772	0.440782	0.329516	0.436782	0.310536	0.431505	0.365269	0.469774	0.242546	0.508823	0.437276	0.355585	0.430176	0.365474	0.621426	0.403754	0.439912	0.276935	1.000000	0.378600	0.507642	0.357996	0.531082	0.471267	0.332900	0.377740	0.441909	0.389827	0.477313	0.444723	0.460375	0.354717	0.335330	0.520813	0.407952	0.333420	0.428623	0.408340	0.300124	0.364892	0.429540	0.350172	0.396292	0.384600	0.251038	0.299420	0.327381	0.403794	0.377356	0.375427	0.410803	0.485384	0.446513	0.492909	0.370728	0.321818	0.424713	0.401667	0.450224	0.475910	0.473640	0.437447	0.470925	0.467387	0.434671	0.480169	0.388361	0.469547	0.294655	0.386537	0.316179	0.379941	0.257838	0.514630	0.331888	0.326748	0.349470	0.382958	0.528272	0.371710	0.338828	0.420823	0.367901	0.326018	0.447776	0.452372	0.282002	0.416800	0.271242	0.500796	0.446031	0.308799	0.442903	0.371264	0.448188	0.564704	0.346312	0.322053	0.565112	0.437698	0.421967	0.339556	0.364454	0.446921	0.387441	0.464406	0.343932	0.372564	0.551708	0.521204	
envy    	0.426482	0.328351	0.374876	0.401393	0.277432	0.308501	0.351008	0.358148	0.334534	0.403862	0.439689	0.418060	0.387036	0.367240	0.377168	0.357363	0.395695	0.326551	0.414415	0.286817	0.435482	0.428106	0.399454	0.368514	0.357696	0.343998	0.377329	0.412619	0.384045	0.449650	0.299438	0.388137	0.408910	0.333499	0.352265	0.316798	0.424216	0.312054	0.351934	0.360344	0.378600	1.000000	0.358820	0.345200	0.390641	0.401465	0.356524	0.374105	0.306692	0.310924	0.435646	0.387332	0.336209	0.330786	0.247620	0.424676	0.348264	0.399384	0.395989	0.394370	0.391804	0.397283	0.393753	0.356502	0.393467	0.427007	0.261414	0.324921	0.382405	0.423035	0.307063	0.324239	0.452982	0.479756	0.403745	0.401325	0.349971	0.583661	0.287573	0.341323	0.402644	0.345298	0.395158	0.419385	0.412349	0.401994	0.421369	0.324077	0.397769	0.359565	0.315329	0.361916	0.344281	0.354581	0.303639	0.400943	0.335541	0.349917	0.378640	0.391247	0.323427	0.414840	0.384421	0.386129	0.391699	0.448969	0.431858	0.450535	0.320634	0.368835	0.338114	0.399573	0.365820	0.411040	0.427804	0.390216	0.401710	0.395245	0.352403	0.311663	0.339934	0.455955	0.339302	0.329726	0.377161	0.457322	0.351015	0.384483	0.397685	0.360433	0.317364	0.423747	
euphoria	0.505486	0.282400	0.500802	0.459052	0.272044	0.441567	0.466010	0.407746	0.332198	0.283924	0.498058	0.384787	0.327683	0.348387	0.387712	0.522512	0.283292	0.344202	0.322752	0.470386	0.512787	0.449385	0.465752	0.429960	0.306413	0.417178	0.289298	0.402734	0.353752	0.464920	0.250740	0.523436	0.409237	0.311724	0.460157	0.364670	0.480803	0.456322	0.457167	0.238944	0.507642	0.358820	1.000000	0.312747	0.491924	0.419954	0.340328	0.313204	0.371826	0.409318	0.457622	0.415707	0.424989	0.327043	0.335232	0.554100	0.441441	0.283131	0.436686	0.408659	0.260842	0.335903	0.420741	0.296718	0.399411	0.349148	0.245848	0.227370	0.324541	0.355558	0.427319	0.312248	0.371012	0.510069	0.389457	0.518702	0.351061	0.260649	0.453027	0.376203	0.449660	0.504472	0.431723	0.471756	0.461577	0.453923	0.412413	0.570930	0.366460	0.539644	0.248606	0.374047	0.281254	0.388925	0.234732	0.398904	0.322760	0.288138	0.333697	0.356181	0.606933	0.374600	0.293990	0.389235	0.334425	0.298285	0.420887	0.462221	0.258855	0.458144	0.242827	0.561909	0.435843	0.255290	0.416945	0.348653	0.458470	0.627663	0.309395	0.342772	0.639168	0.423113	0.443644	0.318457	0.350315	0.470387	0.358185	0.495051	0.284876	0.385100	0.415049	0.477756	
exasperation	0.376460	0.331495	0.329390	0.505391	0.367820	0.270201	0.318759	0.314389	0.377509	0.422426	0.414760	0.562264	0.400066	0.261790	0.321183	0.345720	0.321486	0.337972	0.446194	0.243261	0.347772	0.440877	0.350352	0.332210	0.369917	0.353670	0.288465	0.346658	0.332788	0.395787	0.327897	0.433545	0.428947	0.449103	0.324682	0.281526	0.431632	0.264227	0.350715	0.326101	0.357996	0.345200	0.312747	1.000000	0.382013	0.391241	0.341768	0.437415	0.311596	0.305512	0.435014	0.475347	0.338548	0.342357	0.228239	0.390739	0.282690	0.288963	0.529977	0.449256	0.295665	0.308248	0.369890	0.295922	0.331168	0.352926	0.258588	0.392349	0.317681	0.380898	0.277455	0.263956	0.350943	0.384549	0.387109	0.524709	0.334305	0.313179	0.260430	0.355232	0.422597	0.355812	0.348614	0.430292	0.351309	0.312209	0.357039	0.271074	0.332628	0.345411	0.309908	0.359326	0.400123	0.315405	0.253874	0.355531	0.279459	0.352751	0.349143	0.466238	0.319931	0.317535	0.318165	0.404668	0.399289	0.392818	0.480312	0.422909	0.282391	0.375665	0.280633	0.373861	0.338040	0.438608	0.384778	0.410483	0.355138	0.379141	0.368207	0.306316	0.312725	0.405292	0.315827	0.301105	0.332287	0.476637	0.308091	0.342041	0.303769	0.460372	0.339962	0.382064	
excitement	0.519163	0.364243	0.472434	0.501898	0.396159	0.378050	0.453034	0.390779	0.396574	0.431849	0.501690	0.426288	0.436153	0.377029	0.431851	0.511957	0.465342	0.376499	0.398419	0.431609	0.485280	0.437998	0.480877	0.469373	0.383655	0.455772	0.359358	0.440154	0.405862	0.538167	0.275770	0.468068	0.486411	0.375898	0.471196	0.397688	0.576504	0.405094	0.491707	0.305939	0.531082	0.390641	0.491924	0.382013	1.000000	0.546420	0.398980	0.432450	0.413015	0.382467	0.539551	0.450083	0.458938	0.405139	0.316168	0.506853	0.396792	0.409438	0.459519	0.459887	0.337250	0.431575	0.459641	0.411288	0.445916	0.423259	0.285187	0.335288	0.362700	0.467789	0.399575	0.401937	0.457119	0.514374	0.465569	0.502729	0.406828	0.400418	0.414841	0.430826	0.479921	0.529635	0.464472	0.447839	0.500674	0.473515	0.444004	0.453717	0.416790	0.457761	0.340164	0.435897	0.369987	0.419263	0.322699	0.527988	0.357478	0.388928	0.362382	0.427590	0.502572	0.412239	0.387402	0.498550	0.368837	0.387520	0.453831	0.480753	0.364881	0.433309	0.306543	0.539656	0.440860	0.367625	0.488409	0.422493	0.479904	0.564739	0.428367	0.371605	0.600329	0.484169	0.464378	0.385000	0.422610	0.458913	0.414034	0.493735	0.389725	0.362524	0.455835	0.555711	
exhilaration	0.456464	0.402442	0.407363	0.469740	0.328206	0.332900	0.405811	0.410000	0.418550	0.375640	0.468495	0.455561	0.422365	0.345425	0.420742	0.418605	0.422165	0.375436	0.401350	0.326372	0.433174	0.443909	0.436429	0.425354	0.422820	0.485632	0.366188	0.442566	0.428846	0.487342	0.311005	0.409262	0.502458	0.385192	0.382134	0.357179	0.527531	0.375227	0.503486	0.350503	0.471267	0.401465	0.419954	0.391241	0.546420	1.000000	0.385604	0.429906	0.361916	0.346233	0.447184	0.440140	0.485539	0.504245	0.287031	0.449833	0.366754	0.385243	0.444618	0.438046	0.359940	0.437079	0.414189	0.386559	0.434371	0.454473	0.316951	0.373930	0.394212	0.427120	0.326263	0.342658	0.450015	0.452352	0.442368	0.439963	0.402568	0.373600	0.421149	0.452656	0.523772	0.496905	0.421902	0.422042	0.444691	0.400121	0.442346	0.354966	0.423449	0.405015	0.399055	0.429512	0.357558	0.402274	0.325551	0.478992	0.360191	0.443504	0.398365	0.391142	0.410940	0.410771	0.384274	0.463765	0.387377	0.386658	0.439016	0.460114	0.379667	0.388230	0.351318	0.449436	0.394357	0.408750	0.471605	0.429422	0.444675	0.468911	0.444800	0.381160	0.413374	0.468557	0.411447	0.354812	0.390163	0.426684	0.369693	0.427307	0.380963	0.353875	0.404193	0.503505	
fear    	0.409938	0.319161	0.338194	0.405153	0.328068	0.244128	0.474821	0.355757	0.434143	0.407646	0.388658	0.438746	0.501135	0.423725	0.487625	0.396946	0.390901	0.419405	0.380385	0.263012	0.356670	0.443625	0.450825	0.358483	0.382022	0.322980	0.346143	0.373810	0.385348	0.411827	0.368578	0.367043	0.440710	0.352151	0.358560	0.508479	0.390191	0.302628	0.416844	0.358573	0.332900	0.356524	0.340328	0.341768	0.398980	0.385604	1.000000	0.346277	0.294515	0.524005	0.408998	0.377666	0.315927	0.343942	0.201890	0.378426	0.274919	0.369603	0.369290	0.360258	0.370040	0.405539	0.402185	0.357723	0.412096	0.376827	0.325367	0.347297	0.386953	0.421377	0.321129	0.316409	0.474082	0.391732	0.427118	0.419583	0.383635	0.372665	0.253156	0.366184	0.449723	0.326520	0.358777	0.469791	0.402815	0.362278	0.371892	0.262081	0.364430	0.368982	0.326339	0.349384	0.351921	0.336782	0.406899	0.369962	0.342353	0.408289	0.348264	0.396568	0.256613	0.394709	0.421949	0.382261	0.395181	0.379934	0.420145	0.475639	0.325122	0.283085	0.339551	0.440820	0.380605	0.435837	0.409772	0.424803	0.389524	0.334227	0.449147	0.378516	0.278772	0.364947	0.315381	0.455264	0.372118	0.359013	0.341346	0.410036	0.388519	0.284647	0.296265	0.349407	
ferocity	0.369647	0.341211	0.343071	0.432823	0.333801	0.323480	0.311215	0.326133	0.300797	0.406072	0.403940	0.457311	0.394082	0.301230	0.320241	0.340856	0.415306	0.307253	0.428194	0.259619	0.357445	0.407147	0.375009	0.371213	0.352255	0.316065	0.327788	0.366230	0.386472	0.425716	0.311973	0.377433	0.406094	0.363803	0.309127	0.294980	0.448679	0.313688	0.370245	0.281820	0.377740	0.374105	0.313204	0.437415	0.432450	0.429906	0.346277	1.000000	0.321530	0.283827	0.457250	0.434233	0.336301	0.324997	0.231097	0.359440	0.309168	0.366819	0.448857	0.417770	0.305061	0.344330	0.368282	0.335841	0.366897	0.369843	0.269508	0.374596	0.317140	0.388724	0.335679	0.343717	0.379444	0.393058	0.376250	0.415531	0.367277	0.383484	0.253839	0.350835	0.334423	0.378836	0.382816	0.410067	0.370759	0.369561	0.338385	0.324393	0.346388	0.313663	0.323053	0.332620	0.391436	0.317442	0.298896	0.420008	0.308181	0.352621	0.309493	0.422080	0.295195	0.351473	0.366662	0.388719	0.356249	0.375246	0.426920	0.396044	0.297169	0.369190	0.295427	0.358917	0.321109	0.443559	0.403822	0.364146	0.364392	0.371167	0.396057	0.295085	0.327935	0.450070	0.332269	0.327995	0.328020	0.440772	0.332544	0.381037	0.329892	0.359360	0.339754	0.387026	
fondness	0.356500	0.481159	0.603703	0.361735	0.339046	0.294797	0.306812	0.299469	0.352715	0.264493	0.382091	0.338002	0.355015	0.229098	0.304338	0.376145	0.346322	0.356867	0.323335	0.299057	0.401714	0.352847	0.328285	0.315833	0.296947	0.356710	0.233780	0.424778	0.307562	0.349220	0.206120	0.435738	0.368883	0.330930	0.343270	0.306078	0.453699	0.270719	0.354628	0.237259	0.441909	0.306692	0.371826	0.311596	0.413015	0.361916	0.294515	0.321530	1.000000	0.299170	0.328451	0.351136	0.386603	0.336809	0.229011	0.375511	0.324448	0.269662	0.327470	0.340953	0.246503	0.303949	0.387605	0.262474	0.294051	0.317865	0.194503	0.286172	0.261093	0.356343	0.276682	0.525509	0.344023	0.364723	0.350727	0.353801	0.304857	0.273744	0.333421	0.352723	0.377894	0.357638	0.567887	0.388802	0.385637	0.453710	0.479395	0.324409	0.320479	0.342286	0.262503	0.279013	0.264088	0.297808	0.204372	0.453389	0.281869	0.310431	0.294944	0.298990	0.341110	0.287456	0.302198	0.311347	0.318539	0.282450	0.389944	0.356706	0.249103	0.315324	0.225451	0.349158	0.364352	0.289704	0.370085	0.286241	0.362881	0.524883	0.322275	0.268537	0.373645	0.354438	0.299327	0.305708	0.298276	0.367003	0.324231	0.354723	0.284699	0.276292	0.417953	0.377224	
fright  	0.387296	0.254609	0.363442	0.388926	0.306751	0.314583	0.539570	0.341131	0.324509	0.287509	0.408115	0.378992	0.466985	0.397398	0.512876	0.383028	0.239644	0.357992	0.308233	0.313401	0.373535	0.394875	0.376282	0.354219	0.349768	0.328500	0.255787	0.342109	0.326389	0.377609	0.255865	0.412071	0.451740	0.326733	0.362642	0.528720	0.387811	0.304792	0.372496	0.254850	0.389827	0.310924	0.409318	0.305512	0.382467	0.346233	0.524005	0.283827	0.299170	1.000000	0.361888	0.353630	0.353613	0.286682	0.238324	0.434662	0.333068	0.264533	0.347006	0.318128	0.245362	0.291758	0.337347	0.280162	0.331844	0.324133	0.284064	0.263400	0.327004	0.324385	0.346798	0.237000	0.366534	0.392924	0.335850	0.416279	0.321795	0.234439	0.301262	0.300122	0.410867	0.345096	0.342283	0.426833	0.370697	0.340705	0.332202	0.366661	0.303226	0.502874	0.278185	0.292071	0.263934	0.360255	0.317741	0.326914	0.284171	0.298252	0.290592	0.325351	0.388950	0.281663	0.310756	0.350799	0.316081	0.263262	0.407811	0.407440	0.249486	0.345302	0.231706	0.470693	0.375088	0.283134	0.367252	0.350847	0.369089	0.431575	0.419426	0.388042	0.425344	0.327789	0.308268	0.444285	0.317138	0.375358	0.304799	0.384781	0.321874	0.327488	0.314169	0.345750	
